id	rule	severity	confidence	file	function	line	source	executed_path	asset	precondition	impact_CIA	application_control	existing_test	proposed_fix	lot	status	details
R4-056	G304	MEDIUM	HIGH	internal/browser/archive_security.go	secureExtractTarGz	168	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-057	G304	MEDIUM	HIGH	internal/browser/archive_security.go	secureExtractZip	141	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-058	G304	MEDIUM	HIGH	internal/api/router.go	loadOrCreateToken	831	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-059	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	restoreMetadataBackup	935	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-060	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	createMetadataBackup	900	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-061	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	761	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-062	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	709	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-063	G304	MEDIUM	HIGH	cmd/server/cli_runtime.go	createFullBackup	594	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-064	G304	MEDIUM	HIGH	cmd/server/cli.go	readToken	856	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-065	G304	MEDIUM	HIGH	cmd/server/cli.go	runMigrateCommand	572	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	Potential file inclusion via variable
R4-066	G107	MEDIUM	MEDIUM	internal/browser/download.go	download	545	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	URL/network request	URL/network request	uncontrolled external or redirectable target	confidentiality/integrity/availability	loopback validation and local HTTP policy on reviewed paths	loopback/external/redirect/timeout tests	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Potential HTTP request made with variable url
R4-067	G305	MEDIUM	HIGH	cmd/server/cli_runtime.go	extractFullBackupToStage	781	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	user-selected local path, archive, backup or artifact	user-selected local path, archive, backup or artifact	tainted path, link, malformed archive or race	confidentiality/integrity/availability	lexical confinement, os.Root, archive limits and staged activation on selected paths	traversal, symlink, hardlink, special-type and malformed archive tests	Inspect and harden the R4-B path; preserve scanner visibility and add negative/positive regression tests.	R4-B	NEEDS_MANUAL_REVIEW	File traversal when extracting zip/tar archive
R4-068	G302	MEDIUM	HIGH	internal/groups/store.go	NewStore	48	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	runtime executable or sensitive file mode	runtime executable or sensitive file mode	permission mode broader than intended	confidentiality/integrity	owner-only directories and explicit file modes on R3 paths	mode assertions on sensitive runtime paths	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Expect file permissions to be 0600 or less
R4-069	G302	MEDIUM	HIGH	internal/browser/download.go	DownloadCloakBrowser	491	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	runtime executable or sensitive file mode	runtime executable or sensitive file mode	permission mode broader than intended	confidentiality/integrity	owner-only directories and explicit file modes on R3 paths	mode assertions on sensitive runtime paths	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Expect file permissions to be 0600 or less
R4-070	G302	MEDIUM	HIGH	internal/browser/download.go	DownloadCamoufox	404	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	runtime executable or sensitive file mode	runtime executable or sensitive file mode	permission mode broader than intended	confidentiality/integrity	owner-only directories and explicit file modes on R3 paths	mode assertions on sensitive runtime paths	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Expect file permissions to be 0600 or less
R4-071	G302	MEDIUM	HIGH	internal/browser/download.go	DownloadBrowseForgeChromium	344	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	runtime executable or sensitive file mode	runtime executable or sensitive file mode	permission mode broader than intended	confidentiality/integrity	owner-only directories and explicit file modes on R3 paths	mode assertions on sensitive runtime paths	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Expect file permissions to be 0600 or less
R4-072	G302	MEDIUM	HIGH	cmd/server/cli.go	ensureRuntimeDirs	763	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	runtime executable or sensitive file mode	runtime executable or sensitive file mode	permission mode broader than intended	confidentiality/integrity	owner-only directories and explicit file modes on R3 paths	mode assertions on sensitive runtime paths	Inspect and harden the R4-C path; preserve scanner visibility and add negative/positive regression tests.	R4-C	NEEDS_MANUAL_REVIEW	Expect file permissions to be 0600 or less
R4-073	G104	LOW	HIGH	internal/mcp/stdio.go	writeStdout	56	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-074	G104	LOW	HIGH	internal/mcp/server.go	toolCloseTab	818	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-075	G104	LOW	HIGH	internal/mcp/server.go	toolTypeText	667	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-076	G104	LOW	HIGH	internal/mcp/protocol.go	writeJSONRPCStatus	40	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-077	G104	LOW	HIGH	internal/humanize/keyboard.go	pressChar	73-75	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-078	G104	LOW	HIGH	internal/humanize/keyboard.go	Type	60	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-079	G104	LOW	HIGH	internal/humanize/keyboard.go	Type	33	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-080	G104	LOW	HIGH	internal/fingerprint/pool.go	Pick	72	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-081	G104	LOW	HIGH	internal/browser/socks5relay.go	handle	144	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-082	G104	LOW	HIGH	internal/browser/socks5relay.go	handle	142	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-083	G104	LOW	HIGH	internal/browser/socks5relay.go	handle	135	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-084	G104	LOW	HIGH	internal/browser/socks5relay.go	handle	129	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-085	G104	LOW	HIGH	internal/browser/socks5relay.go	handle	122	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-086	G104	LOW	HIGH	internal/browser/socks5relay.go	handle	95	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-087	G104	LOW	HIGH	internal/browser/socks5relay.go	handle	87	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-088	G104	LOW	HIGH	internal/browser/socks5relay.go	Close	49	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-089	G104	LOW	HIGH	internal/browser/manager.go	Close	399	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-090	G104	LOW	HIGH	internal/browser/manager.go	Close	391	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-091	G104	LOW	HIGH	internal/browser/manager.go	CloseSession	376	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-092	G104	LOW	HIGH	internal/browser/manager.go	CloseSession	373	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-093	G104	LOW	HIGH	internal/browser/launch_firefox.go	launchFirefox	153	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-094	G104	LOW	HIGH	internal/browser/launch_chromium.go	launchChromium	333	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-095	G104	LOW	HIGH	internal/browser/launch_chromium.go	launchChromium	312	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-096	G104	LOW	HIGH	internal/browser/download.go	DownloadCloakBrowser	484	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-097	G104	LOW	HIGH	internal/api/router.go	writeJSON	707	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-098	G104	LOW	HIGH	internal/api/dashboard.go	dashboard	13	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
R4-099	G104	LOW	HIGH	cmd/server/main.go	runServer	429	GOSEC_R3_FINAL_SOURCE_ONLY_SCAN	local persistence, archive, transport or audit I/O	local persistence, archive, transport or audit I/O	faulty/partial I/O or closed resource	integrity/availability; confidentiality if cleanup leaks data	bounded error propagation, rollback or cleanup exists on some paths	interrupted write/close/rename and rollback tests	Inspect and harden the R4-A path; preserve scanner visibility and add negative/positive regression tests.	R4-A	NEEDS_MANUAL_REVIEW	Errors unhandled
